552 | 2026-03-11 19:26:52,716 | uber | INFO | MainThread | Completed batch processing threads=10
632 | 2026-03-11 19:26:52,718 | uber | INFO | MainThread | Parent batches executed count=10
540 | 2026-03-11 19:26:52,720 | uber | INFO | MainThread | Starting batch processing total_records=0
552 | 2026-03-11 19:26:52,726 | uber | INFO | MainThread | Completed batch processing threads=0
635 | 2026-03-11 19:26:52,729 | uber | INFO | MainThread | Child batches executed count=0
444 | 2026-03-11 19:26:52,387 | uber | INFO | Thread-13 (fun1) | Database connection established
444 | 2026-03-11 19:26:52,450 | uber | INFO | Thread-14 (fun1) | Database connection established
444 | 2026-03-11 19:26:52,896 | uber | INFO | Thread-17 (fun1) | Database connection established
444 | 2026-03-11 19:26:52,911 | uber | INFO | Thread-15 (fun1) | Database connection established
444 | 2026-03-11 19:26:52,999 | uber | INFO | Thread-18 (fun1) | Database connection established
444 | 2026-03-11 19:26:52,999 | uber | INFO | Thread-16 (fun1) | Database connection established
444 | 2026-03-11 19:26:53,000 | uber | INFO | Thread-21 (fun1) | Database connection established
444 | 2026-03-11 19:26:53,014 | uber | INFO | Thread-22 (fun1) | Database connection established
444 | 2026-03-11 19:26:53,015 | uber | INFO | Thread-20 (fun1) | Database connection established
444 | 2026-03-11 19:26:53,033 | uber | INFO | Thread-19 (fun1) | Database connection established
552 | 2026-03-11 19:26:53,688 | uber | INFO | MainThread | Completed batch processing threads=10
632 | 2026-03-11 19:26:53,689 | uber | INFO | MainThread | Parent batches executed count=10
540 | 2026-03-11 19:26:53,690 | uber | INFO | MainThread | Starting batch processing total_records=0
552 | 2026-03-11 19:26:53,691 | uber | INFO | MainThread | Completed batch processing threads=0
635 | 2026-03-11 19:26:53,692 | uber | INFO | MainThread | Child batches executed count=0
444 | 2026-03-11 19:26:54,268 | uber | INFO | MainThread | Database connection established
540 | 2026-03-11 19:26:54,340 | uber | INFO | MainThread | Starting batch processing total_records=1000
444 | 2026-03-11 19:26:54,383 | uber | INFO | MainThread | Database connection established
540 | 2026-03-11 19:26:54,435 | uber | INFO | MainThread | Starting batch processing total_records=1000
444 | 2026-03-11 19:26:54,827 | uber | INFO | MainThread | Database connection established
540 | 2026-03-11 19:26:54,882 | uber | INFO | MainThread | Starting batch processing total_records=1000
444 | 2026-03-11 19:26:55,638 | uber | INFO | Thread-11 (fun1) | Database connection established
444 | 2026-03-11 19:26:55,846 | uber | INFO | Thread-13 (fun1) | Database connection established
444 | 2026-03-11 19:26:55,901 | uber | INFO | Thread-12 (fun1) | Database connection established
444 | 2026-03-11 19:26:55,901 | uber | INFO | Thread-14 (fun1) | Database connection established
444 | 2026-03-11 19:26:55,902 | uber | INFO | Thread-15 (fun1) | Database connection established
444 | 2026-03-11 19:26:55,903 | uber | INFO | Thread-16 (fun1) | Database connection established
444 | 2026-03-11 19:26:55,903 | uber | INFO | Thread-17 (fun1) | Database connection established
444 | 2026-03-11 19:26:55,904 | uber | INFO | Thread-18 (fun1) | Database connection established
444 | 2026-03-11 19:26:55,953 | uber | INFO | Thread-19 (fun1) | Database connection established
444 | 2026-03-11 19:26:55,954 | uber | INFO | Thread-20 (fun1) | Database connection established
444 | 2026-03-11 19:26:56,064 | uber | INFO | Thread-11 (fun1) | Database connection established
444 | 2026-03-11 19:26:56,119 | uber | INFO | Thread-13 (fun1) | Database connection established
444 | 2026-03-11 19:26:56,187 | uber | INFO | Thread-12 (fun1) | Database connection established
444 | 2026-03-11 19:26:56,286 | uber | INFO | Thread-17 (fun1) | Database connection established
444 | 2026-03-11 19:26:56,287 | uber | INFO | Thread-14 (fun1) | Database connection established
444 | 2026-03-11 19:26:56,289 | uber | INFO | Thread-18 (fun1) | Database connection established
444 | 2026-03-11 19:26:56,315 | uber | INFO | Thread-16 (fun1) | Database connection established
444 | 2026-03-11 19:26:56,315 | uber | INFO | Thread-15 (fun1) | Database connection established
444 | 2026-03-11 19:26:56,321 | uber | INFO | Thread-19 (fun1) | Database connection established
444 | 2026-03-11 19:26:56,322 | uber | INFO | Thread-20 (fun1) | Database connection established
552 | 2026-03-11 19:26:56,520 | uber | INFO | MainThread | Completed batch processing threads=10
632 | 2026-03-11 19:26:56,521 | uber | INFO | MainThread | Parent batches executed count=10
540 | 2026-03-11 19:26:56,521 | uber | INFO | MainThread | Starting batch processing total_records=0
552 | 2026-03-11 19:26:56,522 | uber | INFO | MainThread | Completed batch processing threads=0
635 | 2026-03-11 19:26:56,523 | uber | INFO | MainThread | Child batches executed count=0
444 | 2026-03-11 19:26:55,780 | uber | INFO | Thread-11 (fun1) | Database connection established
444 | 2026-03-11 19:26:55,780 | uber | INFO | Thread-12 (fun1) | Database connection established
444 | 2026-03-11 19:26:55,782 | uber | INFO | Thread-18 (fun1) | Database connection established
444 | 2026-03-11 19:26:55,783 | uber | INFO | Thread-13 (fun1) | Database connection established
